Joint1_alpha,Joint1_a,Joint1_d,Joint1_theta_offset,Joint2_alpha,Joint2_a,Joint2_d,Joint2_theta_offset,Joint3_alpha,Joint3_a,Joint3_d,Joint3_theta_offset,Joint4_alpha,Joint4_a,Joint4_d,Joint4_theta_offset,Joint5_alpha,Joint5_a,Joint5_d,Joint5_theta_offset,Joint6_alpha,Joint6_a,Joint6_d,Joint6_theta_offset,TCP_tx,TCP_ty,TCP_tz,TCP_qx,TCP_qy,TCP_qz,TCP_qw,Laser_tx,Laser_ty,Laser_tz,Laser_qx,Laser_qy,Laser_qz,Laser_qw
0.0017363571985598578,-0.5507371588788237,-0.031018943959068082,-0.005182119176133921,0.0006149164414649549,-0.3872828633020581,-0.08232123114810802,-0.0068775102910119,-0.008078022152195538,-0.1906419225354652,-0.08232123114811271,0.0009500308598345249,-0.004957120221152465,-0.14638556334842429,-0.38956446430648484,0.017453292519943295,-0.08479103232560739,-0.3304266387370753,-0.42288643063092224,-0.011274033759268855,-0.07712445771927989,0.06162898806581127,-0.5651381713008985,-0.017453292519943295,-0.19780285124182884,-0.1320643120624707,-0.5651381713008978,-0.003281249057837556,0.0064432278898574604,0.005969826453249593,-0.028519625193085964,-0.034683140473339265,0.5755588147733453,-0.031114500271880306,0.0,0.0,0.0,0.0
-0.006811339060050215,-0.22002618813415345,0.008392196849434153,-0.0012933703690426574,-0.0008518142530110073,0.059031352227898154,-0.04859384049965357,-0.005826607201200817,-0.0002522290199261489,-0.04855787824920135,-0.048578688981411475,-0.013670972278269739,0.0036307378649948156,0.2513094773308511,-0.1081057099082836,0.017453292519943295,-0.003845262132059154,-0.09139349020051288,-0.32432996129807956,0.016422743134684146,-0.059400315163169626,-0.09026113092911556,-0.28843207623871725,0.017453292519943295,0.04305249861256384,0.01008845519659099,-0.2884320762387167,0.004746632069102784,-0.006663030753913739,-0.011590661832655781,0.03926147665162113,-0.04480133138946829,0.237603934877459,0.008606188457233238,0.0,0.0,0.0,0.0
-0.008712015845036166,-0.2120669907334502,-0.08524643986066524,-0.0032092829920631932,0.016253357194797376,0.2416632612870312,-0.111873310528601,-0.004906894354669321,0.005187130882319248,-0.1301344907663756,-0.11181280356901978,-0.017453292519943295,0.007066513806026281,0.5258135692808965,-0.05514528190623373,0.017453292519943295,0.10606917617202202,0.15752725880707744,-0.23047284066971202,0.016685302743218385,-0.04232486892430709,-0.09097027715667105,-0.18736858540309165,0.017453292519943295,0.3307380504879491,-0.004124992810911013,-0.18736858540309087,0.0454281830930757,-0.04501331019471079,-0.04212275915175987,0.12364947118667602,-0.09070065019576722,0.24043159496553296,-0.08463674107897794,0.0,0.0,0.0,0.0
-0.009197640599690544,-0.3998561732728934,-0.20974062208089533,-0.010403061822558183,0.027378383243877476,0.400062254109456,-0.15104183504634786,0.005356471586308637,0.013280402497360289,-0.21975004450289345,-0.1509854444489695,-0.017453292519943295,0.007525063998732831,0.7391485907127539,-0.15402785454893023,0.017453292519943295,0.18442029400354557,0.2366092814194439,-0.17419994113100196,0.0008432804602861027,-0.03207221024541215,-0.004131315799300178,-0.11414391825178814,0.017453292519943295,0.43712230447859823,-0.07661392389876379,-0.11414391825178767,0.08096867354909452,-0.0713157737030512,-0.06664885087161375,0.2242619548523444,-0.12687633836985643,0.4423570671304633,-0.20892524947309002,0.0,0.0,0.0,0.0
-0.011949387293844415,-0.6519126823619623,-0.2832739058670093,-0.017453292519943295,0.0223541299957183,0.5413060985848418,-0.08254587654759946,0.017453292519943295,0.023715190583148776,-0.1703041961498795,-0.08290471515343614,-0.017453292519943295,0.006701085421458808,0.7717567757619377,-0.2737921171799391,0.017453292519943295,0.1725954305132334,0.11665582120848955,-0.14752654362184475,-0.007790070397025419,-0.02716047294591227,0.04352966579644599,0.1279306462270614,0.017453292519943295,0.2741260304987367,0.036568235148350794,0.12793064622706277,-0.030611081757098806,0.04957659820745873,0.06412421219065285,1.513124644773259,-0.09887629042310347,0.6948303142401332,-0.28281563321631303,0.0,0.0,0.0,0.0
-0.014608738677667214,-0.829263865285697,-0.3071671128991741,-0.01596721453391947,0.016702951913504675,0.43301101802331887,0.06233615429071413,0.017453292519943295,0.020769595026202195,-0.09850156508235738,0.060670533121139555,-0.017453292519943295,-0.00406609691425092,0.5950002713586696,-0.19062970627101955,0.017453292519943295,0.11105243164489917,0.07929926863833908,-0.14712883762681592,0.005841905293297224,-0.02707034264106323,-0.02868966412199396,0.3814311189034431,0.017453292519943295,-0.10626132634559624,0.6090497966951095,0.38143111890344333,-0.4156845272945204,-0.16768521600655484,-0.07878196978026639,1.9782965630115632,-0.13344674972494702,0.8858877226752011,-0.30644535585559385,0.0,0.0,0.0,0.0
-0.02427057404203164,-0.7346163539715044,-0.3704957377493407,-0.0005877362825589608,0.01534832567404612,0.06566952265806633,0.3271540884871427,0.017453292519943295,0.006673703615039744,-0.054349440862588944,0.3238312229948471,-0.017453292519943295,-0.03916655664737183,0.33904046492242085,0.08532720815078523,0.017453292519943295,0.05843587468525109,0.08979124873272099,-0.1305394505108403,0.015964960047024166,-0.02349255809077056,-0.08446598067227297,0.4358089655578879,0.017453292519943295,-0.29738055947872066,0.6572918738196608,0.43580896555789084,-0.6470968671891273,0.19531769779131786,0.4367903569560068,-9.789181000965472,-0.3694344438737387,0.8462441590941203,-0.36749415397241164,0.0,0.0,0.0,0.0
-0.006556554639682698,-0.16513876740227723,-0.06638106060218124,0.0033313695252818673,0.008866126492796252,0.02863126478853651,0.10559867682358415,0.017453292519943295,0.006819629815359593,0.01414785024387244,0.10317258642864878,-0.006184134034322813,-0.022098152983494386,0.03928531430680737,0.06424679406514944,0.017453292519943295,0.01608388898408522,-0.027572086810646254,-0.08690737956648631,0.006993266320813881,-0.01530260993106167,-0.039967783027712284,0.12358817239465938,-0.017453292519943295,0.08785492187564886,0.5278176187919427,0.12358817239466162,-2.992948011473479,0.696265727462071,1.5457510611305403,33.168598970164965,-0.060555275123599595,0.18475126136669967,-0.06586729848004574,0.0,0.0,0.0,0.0
-0.006265155116570231,-0.12286687009963325,-0.06039937129529335,0.002062444378596994,0.004821259904224993,-0.06280477691790343,0.1248908767847165,0.017453292519943295,0.0032548459427484897,-0.006022117705551805,0.12274318280178852,-0.006669150621795152,-0.021377628244304957,0.04263732629141509,0.0598272088774201,0.017453292519943295,0.013096213642227156,-0.0032094934738619435,-0.045365542724331215,0.004280582992349364,-0.007325573531306626,-0.025481482581555616,0.09028213063136266,-0.017453292519943295,0.05938917957788323,0.20543928268297879,0.09028213063136238,0.01645484047645815,0.1798212340587733,0.9163964837801646,0.42495415709813944,-0.08750824274675184,0.14786173004738856,-0.059598436444371655,0.0,0.0,0.0,0.0
-0.02293548357258742,-0.1564746280774031,-0.022722834730960373,0.004599661428812962,0.01907875830278785,-0.3355580167985774,0.3334152970790978,0.017453292519943295,-0.0017661520486123572,0.06077547069711481,0.3303741451385299,-0.017453292519943295,-0.0509303606920052,0.06740564530435447,0.17312372486897654,0.012403094344808158,0.02052267415478462,0.013537529612201088,-0.046549743373635044,0.010442207575268236,-0.0058230723862096045,-0.06239241948041804,0.10357401343243614,-0.017453292519943295,0.06740069905856852,0.17282818243108777,0.10357401343244155,0.5262195171623321,0.5251204111137926,0.43595205675714804,-0.8012211114099326,-0.2290310572079014,0.21735070287492358,-0.020533360526215017,0.0,0.0,0.0,0.0
